Premis Cd,Premis Desc.
101.0,STREET
102.0,SIDEWALK
103.0,ALLEY
104.0,DRIVEWAY
105.0,PEDESTRIAN OVERCROSSING
106.0,TUNNEL
107.0,VACANT LOT
108.0,PARKING LOT
109.0,PARK/PLAYGROUND
110.0,FREEWAY
111.0,BUS-CHARTER/PRIVATE
112.0,"BUS, SCHOOL, CHURCH"
113.0,"TRUCK, COMMERICAL"
114.0,TAXI
115.0,AIRCRAFT
116.0,OTHER/OUTSIDE
117.0,BEACH
118.0,CONSTRUCTION SITE
119.0,"PORCH, RESIDENTIAL"
120.0,STORAGE SHED
121.0,YARD (RESIDENTIAL/BUSINESS)
122.0,"VEHICLE, PASSENGER/TRUCK"
123.0,PARKING UNDERGROUND/BUILDING
124.0,BUS STOP
125.0,PAY PHONE
126.0,"TRAIN, OTHER THAN MTA (ALSO QUERY 809/810/811)"
127.0,TRASH CAN/TRASH DUMPSTER
128.0,BUS STOP/LAYOVER (ALSO QUERY 124)
129.0,"TERMINAL, OTHER THAN MTA"
135.0,MTA PROPERTY OR PARKING LOT
136.0,"OTHER INTERSTATE, CHARTER BUS"
137.0,TRAM/STREETCAR(BOXLIKE WAG ON RAILS)*
138.0,STAIRWELL*
139.0,AMUSEMENT PARK*
140.0,BALCONY*
141.0,CEMETARY*
142.0,DRIVE THRU*
143.0,ESCALATOR*
144.0,GOLF COURSE*
145.0,MAIL BOX
146.0,PATIO*
147.0,POOL-PUBLIC/OUTDOOR OR INDOOR*
148.0,PUBLIC RESTROOM/OUTSIDE*
149.0,RIVER BED*
150.0,TOOL SHED*
151.0,TOW YARD*
152.0,UNDERPASS/BRIDGE*
154.0,TRAIN TRACKS
155.0,DAM/RESERVOIR
156.0,VALET
157.0,"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)"
158.0,TRANSIENT ENCAMPMENT
201.0,JEWELRY STORE
202.0,LIQUOR STORE
203.0,OTHER BUSINESS
204.0,MANUFACTURING COMPANY
205.0,GUN/SPORTING GOODS
206.0,TV/RADIO/APPLIANCE
207.0,BAR/COCKTAIL/NIGHTCLUB
208.0,AUTO SALES LOT
209.0,EQUIPMENT RENTAL
210.0,RESTAURANT/FAST FOOD
211.0,PAWN SHOP
212.0,TRANSPORTATION FACILITY (AIRPORT)
213.0,WAREHOUSE
214.0,"BUS DEPOT/TERMINAL, OTHER THAN MTA"
215.0,"TRAIN DEPOT/TERMINAL, OTHER THAN MTA"
216.0,SWAP MEET
217.0,AUTO REPAIR SHOP
218.0,BEAUTY/BARBER SHOP
219.0,CLEANER/LAUNDROMAT
220.0,NAIL SALON
221.0,PUBLIC STORAGE
222.0,LAUNDROMAT
223.0,VIDEO RENTAL STORE
224.0,SURPLUS SURVIVAL STORE
225.0,RECORD-CD MUSIC/COMPUTER GAME STORE
227.0,ABORTION CLINIC/ABORTION FACILITY*
228.0,BOWLING ALLEY*
229.0,CHECK CASHING*
230.0,DAY CARE/ADULTS*
231.0,DAY CARE/CHILDREN*
232.0,"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*"
233.0,TATTOO PARLOR*
234.0,OPTICAL OFFICE INSIDE STORE OR SUPERMARKET*
235.0,PHARMACY INSIDE STORE OR SUPERMARKET*
236.0,VISION CARE FACILITY*
237.0,HOSPICE
238.0,TELECOMMUNICATION FACILITY/LOCATION
239.0,MEDICAL MARIJUANA FACILITIES/BUSINESSES
240.0,DEPT OF DEFENSE FACILITY
241.0,ENERGY PLANT/FACILITY
242.0,"DISCOUNT STORE (99 CENT,DOLLAR,ETC."
243.0,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)"
244.0,TOBACCO SHOP
245.0,CATERING/ICE CREAM TRUCK
246.0,METHADONE CLINIC
247.0,CAR WASH
248.0,CELL PHONE STORE
249.0,NURSERY/FLOWER SHOP
250.0,COMPUTER SERVICES/REPAIRS/SALES
251.0,RECYCLING CENTER
252.0,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)"
253.0,MORTUARY
254.0,STUDIO (FILM/PHOTOGRAPHIC/MUSIC)
255.0,"AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)"
256.0,
301.0,GAS STATION
302.0,FACTORY
303.0,OIL REFINERY
304.0,GARMENT MANUFACTURER
305.0,CHEMICAL STORAGE/MANUFACTURING PLANT
401.0,MINI-MART
402.0,MARKET
403.0,DRUG STORE
404.0,DEPARTMENT STORE
405.0,CLOTHING STORE
406.0,OTHER STORE
407.0,HARDWARE/BUILDING SUPPLY
408.0,AUTO SUPPLY STORE*
409.0,BEAUTY SUPPLY STORE
410.0,"MEMBERSHIP STORE (COSTCO,SAMS CLUB)*"
411.0,PET STORE
